range,time_simple,time_transpose
128.000000,1.049691,0.605826
256.000000,1.047005,0.549936
512.000000,0.994429,0.604322
1024.000000,1.001381,0.579736
2048.000000,1.050931,0.620656
4096.000000,0.989634,0.588762
