mnk,tsw,tsh,trw,trh,sum-relative-diff,max-relative-diff,gpu-time,cpu-time
25769803776.000000,1.000000,64.000000,1.000000,1.000000,67.000000,67.000000,2228.172363,0.000067
25769803776.000000,1.000000,64.000000,1.000000,4.000000,67.000000,67.000000,1698.855591,0.000067
25769803776.000000,1.000000,64.000000,1.000000,16.000000,67.000000,67.000000,1712.999878,0.000067
25769803776.000000,1.000000,64.000000,1.000000,32.000000,67.000000,67.000000,3894.374512,0.000067
25769803776.000000,1.000000,64.000000,1.000000,64.000000,67.000000,67.000000,12779.838867,0.000067
25769803776.000000,1.000000,120.000000,1.000000,1.000000,67.000000,67.000000,2784.410400,0.000067
25769803776.000000,1.000000,120.000000,1.000000,4.000000,67.000000,67.000000,1994.411865,0.000067
25769803776.000000,1.000000,120.000000,1.000000,16.000000,67.000000,67.000000,1559.003540,0.000067
25769803776.000000,1.000000,120.000000,1.000000,32.000000,67.000000,67.000000,2332.484863,0.000067
25769803776.000000,1.000000,120.000000,1.000000,64.000000,67.000000,67.000000,7620.059570,0.000067
25769803776.000000,2.000000,64.000000,1.000000,1.000000,67.000000,67.000000,432.648010,0.000067
25769803776.000000,2.000000,64.000000,1.000000,4.000000,67.000000,67.000000,411.405396,0.000067
25769803776.000000,2.000000,64.000000,1.000000,16.000000,67.000000,67.000000,558.303101,0.000067
25769803776.000000,2.000000,64.000000,1.000000,32.000000,67.000000,67.000000,1723.639893,0.000067
25769803776.000000,2.000000,64.000000,1.000000,64.000000,67.000000,67.000000,3112.626465,0.000067
25769803776.000000,2.000000,120.000000,1.000000,1.000000,67.000000,67.000000,770.008728,0.000067
25769803776.000000,2.000000,120.000000,1.000000,4.000000,67.000000,67.000000,474.192780,0.000067
25769803776.000000,2.000000,120.000000,1.000000,16.000000,67.000000,67.000000,497.809998,0.000067
25769803776.000000,2.000000,120.000000,1.000000,32.000000,67.000000,67.000000,1103.366699,0.000067
25769803776.000000,2.000000,120.000000,1.000000,64.000000,67.000000,67.000000,2143.727783,0.000067
25769803776.000000,16.000000,16.000000,1.000000,1.000000,67.000000,67.000000,54.169880,0.000067
25769803776.000000,16.000000,16.000000,1.000000,4.000000,67.000000,67.000000,65.791077,0.000067
25769803776.000000,16.000000,16.000000,1.000000,16.000000,67.000000,67.000000,108.349518,0.000067
25769803776.000000,16.000000,16.000000,4.000000,1.000000,67.000000,67.000000,99.417038,0.000067
25769803776.000000,16.000000,16.000000,4.000000,4.000000,67.000000,67.000000,165.451645,0.000067
25769803776.000000,16.000000,16.000000,4.000000,16.000000,67.000000,67.000000,854.937195,0.000067
25769803776.000000,16.000000,16.000000,16.000000,1.000000,67.000000,67.000000,329.248077,0.000067
25769803776.000000,16.000000,16.000000,16.000000,4.000000,67.000000,67.000000,622.099121,0.000067
25769803776.000000,16.000000,16.000000,16.000000,16.000000,67.000000,67.000000,1636.588623,0.000067
25769803776.000000,16.000000,64.000000,1.000000,4.000000,67.000000,67.000000,58.842999,0.000067
25769803776.000000,16.000000,64.000000,1.000000,16.000000,67.000000,67.000000,61.374279,0.000067
25769803776.000000,16.000000,64.000000,1.000000,32.000000,67.000000,67.000000,57.280441,0.000067
25769803776.000000,16.000000,64.000000,1.000000,64.000000,67.000000,67.000000,164.004562,0.000067
25769803776.000000,16.000000,64.000000,4.000000,1.000000,67.000000,67.000000,95.708763,0.000067
25769803776.000000,16.000000,64.000000,4.000000,4.000000,67.000000,67.000000,162.734695,0.000067
25769803776.000000,16.000000,64.000000,4.000000,16.000000,67.000000,67.000000,144.721436,0.000067
25769803776.000000,16.000000,64.000000,4.000000,32.000000,67.000000,67.000000,452.932953,0.000067
25769803776.000000,16.000000,64.000000,4.000000,64.000000,67.000000,67.000000,910.931885,0.000067
25769803776.000000,16.000000,64.000000,16.000000,1.000000,67.000000,67.000000,317.957001,0.000067
25769803776.000000,16.000000,64.000000,16.000000,4.000000,67.000000,67.000000,454.307770,0.000067
25769803776.000000,16.000000,64.000000,16.000000,16.000000,67.000000,67.000000,735.102478,0.000067
25769803776.000000,16.000000,64.000000,16.000000,32.000000,67.000000,67.000000,1282.107178,0.000067
25769803776.000000,16.000000,64.000000,16.000000,64.000000,67.000000,67.000000,2764.419678,0.000067
25769803776.000000,16.000000,120.000000,1.000000,16.000000,67.000000,67.000000,75.294998,0.000067
25769803776.000000,16.000000,120.000000,1.000000,32.000000,67.000000,67.000000,68.817719,0.000067
25769803776.000000,16.000000,120.000000,1.000000,64.000000,67.000000,67.000000,125.508362,0.000067
25769803776.000000,16.000000,120.000000,4.000000,4.000000,67.000000,67.000000,169.963715,0.000067
25769803776.000000,16.000000,120.000000,4.000000,16.000000,67.000000,67.000000,161.991837,0.000067
25769803776.000000,16.000000,120.000000,4.000000,32.000000,67.000000,67.000000,271.747650,0.000067
25769803776.000000,16.000000,120.000000,4.000000,64.000000,67.000000,67.000000,528.570251,0.000067
25769803776.000000,16.000000,120.000000,16.000000,1.000000,67.000000,67.000000,407.188660,0.000067
25769803776.000000,16.000000,120.000000,16.000000,4.000000,67.000000,67.000000,598.359924,0.000067
25769803776.000000,16.000000,120.000000,16.000000,16.000000,67.000000,67.000000,681.518738,0.000067
25769803776.000000,16.000000,120.000000,16.000000,32.000000,67.000000,67.000000,1102.967285,0.000067
25769803776.000000,16.000000,120.000000,16.000000,64.000000,67.000000,67.000000,2124.547119,0.000067
25769803776.000000,64.000000,1.000000,1.000000,1.000000,67.000000,67.000000,2943.884521,0.000067
25769803776.000000,64.000000,1.000000,4.000000,1.000000,67.000000,67.000000,2569.312012,0.000067
25769803776.000000,64.000000,1.000000,16.000000,1.000000,67.000000,67.000000,7565.388184,0.000067
25769803776.000000,64.000000,1.000000,32.000000,1.000000,67.000000,67.000000,14243.165039,0.000067
