localW	localH	local-size	tsk	trw	trh	tsw	tsh	n-size	realization	nounroll	gpu-time	Column 13
32	2	64	8	8	8	256	16	4	2	0	16.09996	
8	4	32	4	12	8	96	32	4	2	0	16.11812	
16	4	64	8	12	8	192	32	2	2	0	16.19912	
16	4	64	4	8	8	128	32	4	2	0	16.270519	
32	4	128	12	12	8	384	32	2	2	0	16.275	
16	8	128	16	20	6	320	48	2	2	0	16.31344	
16	4	64	4	8	8	128	32	2	2	0	16.31708	
16	8	128	8	8	8	128	64	2	2	0	16.318439	
16	8	128	4	12	8	192	64	4	2	0	16.42428	
16	8	128	16	8	6	128	48	4	2	0	16.445761	
32	2	64	4	8	8	256	16	4	2	0	16.45628	
16	8	128	8	12	4	192	32	4	2	0	16.465639	
16	2	32	8	8	8	128	16	4	2	0	16.483721	
8	4	32	4	16	6	128	24	4	2	0	16.5014	
8	4	32	4	8	6	64	24	4	2	0	16.5256	
32	4	128	4	8	6	256	24	2	2	0	16.55928	
16	4	64	4	16	6	256	24	4	2	0	16.565081	
16	4	64	16	8	6	128	24	4	2	0	16.56884	
16	8	128	12	20	6	320	48	2	2	0	16.677999	
16	8	128	4	12	6	192	48	4	2	0	16.680161	
16	4	64	4	12	8	192	32	2	2	0	16.742121	
16	8	128	12	8	4	128	32	4	2	0	16.746759	
32	4	128	4	8	8	256	32	2	2	0	16.751801	
16	2	32	4	8	8	128	16	4	2	0	16.751881	
16	8	128	8	8	6	128	48	4	2	0	16.770639	
16	4	64	12	8	6	128	24	2	2	0	16.78252	
32	4	128	8	12	4	384	16	4	2	0	16.850719	
32	4	128	4	20	8	640	32	4	2	0	16.881001	
16	8	128	12	16	6	256	48	4	2	0	16.9216	
16	4	64	8	8	6	128	24	2	2	0	16.955641	
8	4	32	8	12	4	96	16	4	2	0	17.054399	
16	4	64	8	12	4	192	16	4	2	0	17.07592	
16	4	64	4	8	6	128	24	2	2	0	17.16268	
16	4	64	4	20	8	320	32	4	2	0	17.24168	
16	8	128	16	12	4	192	32	2	2	0	17.252359	
16	8	128	4	20	6	320	48	2	2	0	17.287041	
16	4	64	12	16	6	256	24	4	2	0	17.3312	
32	4	128	4	12	4	384	16	4	2	0	17.38656	
16	4	64	12	12	4	192	16	4	2	0	17.447439	
16	8	128	16	16	6	256	48	4	2	0	17.471041	
16	4	64	4	12	4	192	16	4	2	0	17.4858	
16	4	64	4	12	6	192	24	2	2	0	17.561279	
32	4	128	4	12	8	384	32	2	2	0	17.577681	
32	2	64	12	8	8	256	16	4	2	0	17.61496	
8	4	32	8	8	4	64	16	2	2	0	17.622681	
16	4	64	12	8	4	128	16	4	2	0	17.65464	
16	2	32	4	12	8	192	16	4	2	0	17.68836	
16	4	64	8	12	6	192	24	2	2	0	17.71324	
16	4	64	12	20	8	320	32	4	2	0	17.7302	
8	4	32	4	12	8	96	32	2	2	0	17.733521	
32	4	128	8	8	6	256	24	2	2	0	17.818319	
32	4	128	4	8	6	256	24	4	2	0	17.837879	
16	4	64	4	16	8	256	32	4	2	0	17.85704	
8	4	32	4	20	8	160	32	4	2	0	17.86944	
32	4	128	8	12	6	384	24	2	2	0	17.871361	
32	2	64	4	12	8	384	16	4	2	0	17.879801	
8	4	32	4	12	4	96	16	4	2	0	17.99272	
32	4	128	12	12	4	384	16	4	2	0	18.158001	
16	8	128	4	8	8	128	64	2	2	0	18.187679	
8	4	32	4	16	8	128	32	4	2	0	18.1938	
8	4	32	4	8	4	64	16	2	2	0	18.313	
8	4	32	8	12	6	96	24	2	2	0	18.313761	
16	2	32	12	8	8	128	16	4	2	0	18.333639	
16	4	64	4	8	4	128	16	4	2	0	18.502119	
16	8	128	4	20	4	320	32	4	2	0	18.527559	
32	4	128	12	20	6	640	24	4	2	0	18.62928	
32	4	128	4	12	6	384	24	2	2	0	18.698641	
16	8	128	4	12	4	192	32	2	2	0	18.725439	
8	4	32	4	16	6	128	24	2	2	0	18.82056	
16	4	64	8	16	8	256	32	2	2	0	18.867041	
