localW,localH,local-size,tsk,trw,trh,tsw,tsh,n-size,realization,art-factor,nounroll,whole-time,gpu-raw-time,flops
16.000000,8.000000,128.000000,16.000000,20.000000,8.000000,320.000000,64.000000,4.000000,2.000000,90.000000,0.000000,18141.310547,436.044861,5.318907

16.000000,8.000000,128.000000,16.000000,20.000000,8.000000,320.000000,64.000000,4.000000,2.000000,100.000000,0.000000,20243.464844,485.765076,5.304993

16.000000,8.000000,128.000000,16.000000,20.000000,8.000000,320.000000,64.000000,4.000000,2.000000,110.000000,0.000000,21216.898438,509.168060,5.567275

16.000000,8.000000,128.000000,16.000000,20.000000,8.000000,320.000000,64.000000,4.000000,2.000000,120.000000,0.000000,24120.750000,578.865112,5.342137

16.000000,8.000000,128.000000,16.000000,20.000000,8.000000,320.000000,64.000000,4.000000,2.000000,130.000000,0.000000,25774.382812,618.551147,5.416002

16.000000,8.000000,128.000000,16.000000,20.000000,8.000000,320.000000,64.000000,4.000000,2.000000,140.000000,0.000000,26173.023438,628.117493,5.743786

16.000000,8.000000,128.000000,16.000000,20.000000,8.000000,320.000000,64.000000,4.000000,2.000000,150.000000,0.000000,28715.638672,689.141479,5.609110

