size,time_v1,time_v2
4.000000,197096.453125,1248824.375000
5.000000,197096.453125,956657.000000
6.000000,197096.453125,771633.437500
7.000000,197096.453125,645892.437500
8.000000,197096.453125,559674.000000
9.000000,197096.453125,508735.312500
10.000000,197096.453125,453909.468750
11.000000,197096.453125,418959.281250
12.000000,197096.453125,378895.687500
13.000000,197096.453125,575041.000000
14.000000,197096.453125,479580.187500
15.000000,197096.453125,452029.000000
16.000000,197096.453125,403654.312500
17.000000,197096.453125,441970.781250
18.000000,197096.453125,390458.375000
19.000000,197096.453125,428681.468750
20.000000,197096.453125,390407.625000
21.000000,197096.453125,412128.968750
22.000000,197096.453125,408238.437500
23.000000,197096.453125,441474.093750
24.000000,197096.453125,425989.437500
25.000000,197096.453125,432088.812500
26.000000,197096.453125,458527.750000
27.000000,197096.453125,481362.656250
28.000000,197096.453125,451931.406250
29.000000,197096.453125,515890.312500
30.000000,197096.453125,487685.156250
31.000000,197096.453125,556722.000000
32.000000,197096.453125,646224.062500
33.000000,197096.453125,572274.875000
34.000000,197096.453125,646247.375000
35.000000,197096.453125,591740.562500
36.000000,197096.453125,799549.750000
37.000000,197096.453125,695707.812500
38.000000,197096.453125,634844.625000
39.000000,197096.453125,600630.875000
40.000000,197096.453125,490065.437500
41.000000,197096.453125,437801.312500
42.000000,197096.453125,403989.687500
43.000000,197096.453125,447973.687500
44.000000,197096.453125,513768.531250
45.000000,197096.453125,519395.593750
46.000000,197096.453125,406374.468750
47.000000,197096.453125,431107.437500
48.000000,197096.453125,514364.468750
49.000000,197096.453125,420748.937500
50.000000,197096.453125,518588.687500
51.000000,197096.453125,457559.781250
52.000000,197096.453125,439036.500000
53.000000,197096.453125,470081.437500
54.000000,197096.453125,531603.937500
55.000000,197096.453125,529504.875000
56.000000,197096.453125,528980.937500
57.000000,197096.453125,459495.531250
58.000000,197096.453125,461215.281250
59.000000,197096.453125,473431.906250
60.000000,197096.453125,530373.437500
61.000000,197096.453125,475004.031250
62.000000,197096.453125,464293.937500
63.000000,197096.453125,554756.812500
