size,time_v1,time_v2
4.000000,102274.734375,675369.875000
5.000000,102274.734375,566643.437500
6.000000,102274.734375,460058.500000
7.000000,102274.734375,395256.843750
8.000000,102274.734375,307505.468750
9.000000,102274.734375,266610.062500
10.000000,102274.734375,235647.765625
11.000000,102274.734375,209338.078125
12.000000,102274.734375,194586.312500
13.000000,102274.734375,283548.875000
14.000000,102274.734375,235425.500000
15.000000,102274.734375,221875.265625
16.000000,102274.734375,196918.015625
17.000000,102274.734375,217126.171875
18.000000,102274.734375,190667.953125
19.000000,102274.734375,211173.812500
20.000000,102274.734375,193654.406250
21.000000,102274.734375,205189.062500
22.000000,102274.734375,204866.703125
23.000000,102274.734375,220859.156250
24.000000,102274.734375,201077.437500
25.000000,102274.734375,180673.062500
26.000000,102274.734375,171631.218750
27.000000,102274.734375,171348.031250
28.000000,102274.734375,204321.765625
29.000000,102274.734375,209295.546875
30.000000,102274.734375,212977.843750
31.000000,102274.734375,193234.671875
32.000000,102274.734375,320367.750000
33.000000,102274.734375,268117.718750
34.000000,102274.734375,299070.656250
35.000000,102274.734375,284584.625000
36.000000,102274.734375,417741.218750
37.000000,102274.734375,356733.968750
38.000000,102274.734375,330394.312500
39.000000,102274.734375,300664.062500
40.000000,102274.734375,431050.406250
41.000000,102274.734375,349772.406250
42.000000,102274.734375,388539.562500
43.000000,102274.734375,386090.531250
44.000000,102274.734375,459684.781250
45.000000,102274.734375,447103.093750
46.000000,102274.734375,422699.843750
47.000000,102274.734375,459308.750000
48.000000,102274.734375,498016.312500
49.000000,102274.734375,350012.687500
50.000000,102274.734375,353174.187500
51.000000,102274.734375,410531.531250
52.000000,102274.734375,437651.968750
53.000000,102274.734375,466350.875000
54.000000,102274.734375,428225.281250
55.000000,102274.734375,448496.218750
56.000000,102274.734375,435737.187500
57.000000,102274.734375,303303.250000
58.000000,102274.734375,363249.343750
59.000000,102274.734375,409319.375000
60.000000,102274.734375,354946.031250
61.000000,102274.734375,306093.656250
62.000000,102274.734375,491223.187500
63.000000,102274.734375,371505.062500
