size,time_v1,time_v2
4.000000,13185.910156,80483.210938
5.000000,13185.910156,61928.976562
6.000000,13185.910156,52199.121094
7.000000,13185.910156,40969.109375
8.000000,13185.910156,35009.648438
9.000000,13185.910156,31171.566406
10.000000,13185.910156,27956.681641
11.000000,13185.910156,25731.496094
12.000000,13185.910156,23730.929688
13.000000,13185.910156,36252.109375
14.000000,13185.910156,29372.988281
15.000000,13185.910156,27999.888672
16.000000,13185.910156,25361.894531
17.000000,13185.910156,28168.044922
18.000000,13185.910156,24155.996094
19.000000,13185.910156,26830.539062
20.000000,13185.910156,24754.896484
21.000000,13185.910156,26696.720703
22.000000,13185.910156,26742.148438
23.000000,13185.910156,28809.869141
24.000000,13185.910156,26859.468750
25.000000,13185.910156,27373.759766
26.000000,13185.910156,28918.304688
27.000000,13185.910156,29931.916016
28.000000,13185.910156,25387.509766
29.000000,13185.910156,27284.828125
30.000000,13185.910156,28001.226562
31.000000,13185.910156,25488.560547
32.000000,13185.910156,36636.000000
33.000000,13185.910156,35642.019531
34.000000,13185.910156,36003.414062
35.000000,13185.910156,36863.167969
36.000000,13185.910156,41964.687500
37.000000,13185.910156,42523.449219
38.000000,13185.910156,35244.328125
39.000000,13185.910156,34488.246094
40.000000,13185.910156,37952.816406
41.000000,13185.910156,44211.824219
42.000000,13185.910156,48329.710938
43.000000,13185.910156,44903.390625
44.000000,13185.910156,44271.679688
45.000000,13185.910156,36514.261719
46.000000,13185.910156,45713.246094
47.000000,13185.910156,46430.320312
48.000000,13185.910156,59081.933594
49.000000,13185.910156,41571.644531
50.000000,13185.910156,55809.816406
51.000000,13185.910156,52963.191406
52.000000,13185.910156,49655.390625
53.000000,13185.910156,49463.351562
54.000000,13185.910156,45839.289062
55.000000,13185.910156,47448.765625
56.000000,13185.910156,36761.246094
57.000000,13185.910156,31381.544922
58.000000,13185.910156,54562.914062
59.000000,13185.910156,40065.906250
60.000000,13185.910156,53896.878906
61.000000,13185.910156,45612.496094
62.000000,13185.910156,46750.464844
63.000000,13185.910156,50085.175781
