size,time_v1,time_v2
4.000000,68320.640625,448297.406250
5.000000,68320.640625,343137.125000
6.000000,68320.640625,277073.593750
7.000000,68320.640625,236721.234375
8.000000,68320.640625,202377.812500
9.000000,68320.640625,192822.656250
10.000000,68320.640625,167873.562500
11.000000,68320.640625,155116.468750
12.000000,68320.640625,134268.281250
13.000000,68320.640625,206387.078125
14.000000,68320.640625,170586.390625
15.000000,68320.640625,161899.640625
16.000000,68320.640625,140676.468750
17.000000,68320.640625,154636.046875
18.000000,68320.640625,134948.218750
19.000000,68320.640625,147723.250000
20.000000,68320.640625,135326.562500
21.000000,68320.640625,140702.453125
22.000000,68320.640625,140226.515625
23.000000,68320.640625,147284.828125
24.000000,68320.640625,136238.875000
25.000000,68320.640625,139390.500000
26.000000,68320.640625,150576.218750
27.000000,68320.640625,150611.656250
28.000000,68320.640625,137036.843750
29.000000,68320.640625,161559.015625
30.000000,68320.640625,159261.468750
31.000000,68320.640625,179194.375000
32.000000,68320.640625,190771.468750
33.000000,68320.640625,177490.578125
34.000000,68320.640625,196100.281250
35.000000,68320.640625,167058.015625
36.000000,68320.640625,247672.000000
37.000000,68320.640625,184349.031250
38.000000,68320.640625,178821.859375
39.000000,68320.640625,207326.875000
40.000000,68320.640625,228962.921875
41.000000,68320.640625,219627.046875
42.000000,68320.640625,220190.468750
43.000000,68320.640625,259678.296875
44.000000,68320.640625,278408.906250
45.000000,68320.640625,222620.671875
46.000000,68320.640625,200506.531250
47.000000,68320.640625,174930.171875
48.000000,68320.640625,264948.875000
49.000000,68320.640625,211552.468750
50.000000,68320.640625,231078.921875
51.000000,68320.640625,219534.640625
52.000000,68320.640625,169782.296875
53.000000,68320.640625,240271.218750
54.000000,68320.640625,257851.203125
55.000000,68320.640625,174928.734375
56.000000,68320.640625,224614.421875
57.000000,68320.640625,164852.468750
58.000000,68320.640625,163055.546875
59.000000,68320.640625,165300.093750
60.000000,68320.640625,169646.406250
61.000000,68320.640625,149470.906250
62.000000,68320.640625,145683.828125
63.000000,68320.640625,185117.484375
