size,time_v1,time_v2
4.000000,43467.414062,273173.937500
5.000000,43467.414062,209384.062500
6.000000,43467.414062,170528.640625
7.000000,43467.414062,142019.968750
8.000000,43467.414062,126285.093750
9.000000,43467.414062,106916.132812
10.000000,43467.414062,99703.414062
11.000000,43467.414062,91090.195312
12.000000,43467.414062,88115.578125
13.000000,43467.414062,122944.031250
14.000000,43467.414062,102610.007812
15.000000,43467.414062,100203.054688
16.000000,43467.414062,90126.453125
17.000000,43467.414062,99135.546875
18.000000,43467.414062,86732.289062
19.000000,43467.414062,91999.382812
20.000000,43467.414062,84505.437500
21.000000,43467.414062,88460.453125
22.000000,43467.414062,86723.179688
23.000000,43467.414062,89906.640625
24.000000,43467.414062,86393.492188
25.000000,43467.414062,87205.328125
26.000000,43467.414062,96284.132812
27.000000,43467.414062,99184.140625
28.000000,43467.414062,88950.632812
29.000000,43467.414062,105969.343750
30.000000,43467.414062,85096.187500
31.000000,43467.414062,102919.335938
32.000000,43467.414062,116303.773438
33.000000,43467.414062,111710.671875
34.000000,43467.414062,120008.125000
35.000000,43467.414062,122662.101562
36.000000,43467.414062,152585.625000
37.000000,43467.414062,121468.078125
38.000000,43467.414062,117042.093750
39.000000,43467.414062,142550.609375
40.000000,43467.414062,164637.375000
41.000000,43467.414062,123517.695312
42.000000,43467.414062,114773.906250
43.000000,43467.414062,115220.515625
44.000000,43467.414062,134460.375000
45.000000,43467.414062,149336.046875
46.000000,43467.414062,127255.351562
47.000000,43467.414062,170743.625000
48.000000,43467.414062,153857.750000
49.000000,43467.414062,164253.890625
50.000000,43467.414062,176993.843750
51.000000,43467.414062,199578.781250
52.000000,43467.414062,163794.343750
53.000000,43467.414062,176862.281250
54.000000,43467.414062,136984.890625
55.000000,43467.414062,147325.703125
56.000000,43467.414062,177004.921875
57.000000,43467.414062,138823.640625
58.000000,43467.414062,132456.375000
59.000000,43467.414062,164224.640625
60.000000,43467.414062,170330.187500
61.000000,43467.414062,132798.906250
62.000000,43467.414062,137061.921875
63.000000,43467.414062,153536.031250
