size,time_v1,time_v2
4.000000,145676.703125,938632.125000
5.000000,145676.703125,727649.812500
6.000000,145676.703125,579268.750000
7.000000,145676.703125,483721.875000
8.000000,145676.703125,454900.406250
9.000000,145676.703125,395214.281250
10.000000,145676.703125,336913.062500
11.000000,145676.703125,343335.312500
12.000000,145676.703125,294137.156250
13.000000,145676.703125,418892.281250
14.000000,145676.703125,346596.625000
15.000000,145676.703125,332069.437500
16.000000,145676.703125,294398.281250
17.000000,145676.703125,318861.125000
18.000000,145676.703125,279319.406250
19.000000,145676.703125,303072.937500
20.000000,145676.703125,279196.437500
21.000000,145676.703125,293951.312500
22.000000,145676.703125,291550.656250
23.000000,145676.703125,311636.000000
24.000000,145676.703125,292716.187500
25.000000,145676.703125,308524.437500
26.000000,145676.703125,311880.937500
27.000000,145676.703125,312874.531250
28.000000,145676.703125,255176.078125
29.000000,145676.703125,335449.906250
30.000000,145676.703125,303646.500000
31.000000,145676.703125,392815.468750
32.000000,145676.703125,464519.437500
33.000000,145676.703125,409959.500000
34.000000,145676.703125,462236.062500
35.000000,145676.703125,397761.250000
36.000000,145676.703125,559584.250000
37.000000,145676.703125,424902.843750
38.000000,145676.703125,316913.812500
39.000000,145676.703125,441136.187500
40.000000,145676.703125,557345.625000
41.000000,145676.703125,492200.093750
42.000000,145676.703125,523370.968750
43.000000,145676.703125,579021.000000
44.000000,145676.703125,613589.000000
45.000000,145676.703125,614222.750000
46.000000,145676.703125,545407.875000
47.000000,145676.703125,543238.312500
48.000000,145676.703125,712965.937500
49.000000,145676.703125,714422.125000
50.000000,145676.703125,954039.937500
51.000000,145676.703125,943157.750000
52.000000,145676.703125,681833.187500
53.000000,145676.703125,577999.812500
54.000000,145676.703125,732011.500000
55.000000,145676.703125,791266.000000
56.000000,145676.703125,765942.750000
57.000000,145676.703125,635829.750000
58.000000,145676.703125,606014.312500
59.000000,145676.703125,953819.875000
60.000000,145676.703125,948857.125000
61.000000,145676.703125,842573.750000
62.000000,145676.703125,848125.437500
63.000000,145676.703125,921799.312500
