size,time_v1,time_v2
4.000000,2080.996094,10396.280273
5.000000,2080.996094,7693.245117
6.000000,2080.996094,6176.574219
7.000000,2080.996094,5251.070801
8.000000,2080.996094,4298.047852
9.000000,2080.996094,4076.436035
10.000000,2080.996094,3576.188965
11.000000,2080.996094,3356.336914
12.000000,2080.996094,3022.986084
13.000000,2080.996094,4605.594238
14.000000,2080.996094,3819.861084
15.000000,2080.996094,3781.600098
16.000000,2080.996094,3296.745117
17.000000,2080.996094,3700.996094
18.000000,2080.996094,3195.291016
19.000000,2080.996094,3439.248047
20.000000,2080.996094,3242.968994
21.000000,2080.996094,3465.857910
22.000000,2080.996094,3403.581055
23.000000,2080.996094,3589.461914
24.000000,2080.996094,3535.172119
25.000000,2080.996094,3607.131104
26.000000,2080.996094,3726.822021
27.000000,2080.996094,3998.594971
28.000000,2080.996094,3774.989014
29.000000,2080.996094,4167.621094
30.000000,2080.996094,4058.240967
31.000000,2080.996094,4698.131836
32.000000,2080.996094,4970.415039
33.000000,2080.996094,4786.761230
34.000000,2080.996094,5225.337891
35.000000,2080.996094,5040.959961
36.000000,2080.996094,6450.800781
37.000000,2080.996094,5556.041992
38.000000,2080.996094,5073.529785
39.000000,2080.996094,5789.766113
40.000000,2080.996094,6933.476074
41.000000,2080.996094,5824.673828
42.000000,2080.996094,6139.327148
43.000000,2080.996094,6668.157227
44.000000,2080.996094,7348.398926
45.000000,2080.996094,7283.475098
46.000000,2080.996094,6708.310059
47.000000,2080.996094,7155.121094
48.000000,2080.996094,8525.972656
49.000000,2080.996094,6559.925781
50.000000,2080.996094,8093.541016
51.000000,2080.996094,7861.524902
52.000000,2080.996094,7630.743164
53.000000,2080.996094,8152.932129
54.000000,2080.996094,6450.345215
55.000000,2080.996094,6703.841797
56.000000,2080.996094,4748.433105
57.000000,2080.996094,5677.404785
58.000000,2080.996094,3759.447998
59.000000,2080.996094,4334.145996
60.000000,2080.996094,6764.553223
61.000000,2080.996094,9149.683594
62.000000,2080.996094,4258.295898
63.000000,2080.996094,10560.863281
