size,time_v1,time_v2
4.000000,5492.960938,34456.253906
5.000000,5492.960938,26486.623047
6.000000,5492.960938,20637.416016
7.000000,5492.960938,17700.128906
8.000000,5492.960938,15473.675781
9.000000,5492.960938,14226.197266
10.000000,5492.960938,11993.957031
11.000000,5492.960938,11468.293945
12.000000,5492.960938,11322.162109
13.000000,5492.960938,15887.147461
14.000000,5492.960938,12909.584961
15.000000,5492.960938,11990.123047
16.000000,5492.960938,10543.119141
17.000000,5492.960938,11846.608398
18.000000,5492.960938,9967.949219
19.000000,5492.960938,11289.885742
20.000000,5492.960938,10647.075195
21.000000,5492.960938,11065.623047
22.000000,5492.960938,10916.681641
23.000000,5492.960938,11895.942383
24.000000,5492.960938,11049.676758
25.000000,5492.960938,11820.987305
26.000000,5492.960938,12618.528320
27.000000,5492.960938,12905.481445
28.000000,5492.960938,12540.131836
29.000000,5492.960938,14064.083984
30.000000,5492.960938,13998.955078
31.000000,5492.960938,15792.377930
32.000000,5492.960938,15524.017578
33.000000,5492.960938,14737.929688
34.000000,5492.960938,17251.169922
35.000000,5492.960938,16296.253906
36.000000,5492.960938,21869.388672
37.000000,5492.960938,19666.056641
38.000000,5492.960938,16808.931641
39.000000,5492.960938,18663.566406
40.000000,5492.960938,20689.798828
41.000000,5492.960938,18840.671875
42.000000,5492.960938,16156.715820
43.000000,5492.960938,21238.699219
44.000000,5492.960938,18901.908203
45.000000,5492.960938,20997.060547
46.000000,5492.960938,20424.960938
47.000000,5492.960938,21867.443359
48.000000,5492.960938,22778.992188
49.000000,5492.960938,20401.308594
50.000000,5492.960938,21318.429688
51.000000,5492.960938,11904.516602
52.000000,5492.960938,19575.000000
53.000000,5492.960938,18401.859375
54.000000,5492.960938,23030.685547
55.000000,5492.960938,24851.154297
56.000000,5492.960938,26092.890625
57.000000,5492.960938,23450.755859
58.000000,5492.960938,20523.880859
59.000000,5492.960938,27390.152344
60.000000,5492.960938,31141.404297
61.000000,5492.960938,27901.048828
62.000000,5492.960938,27020.328125
63.000000,5492.960938,26343.064453
